Month,Geography,Measure type,Unit of Measure,Value
1995-12,K02000001,Protein,Percentage,3.3
1996-01,K02000001,Price,Pence per litre,24.59
1996-01,K02000001,Volume,Million litres,1200
1996-01,K02000001,Butterfat,Percentage,4.11
1996-01,K02000001,Protein,Percentage,3.22
1996-02,K02000001,Price,Pence per litre,24.62
1996-02,K02000001,Volume,Million litres,1074
1996-02,K02000001,Butterfat,Percentage,4.13
1996-02,K02000001,Protein,Percentage,3.2
1996-03,K02000001,Price,Pence per litre,24.93
1996-03,K02000001,Volume,Million litres,1101
1996-03,K02000001,Butterfat,Percentage,4.13
1996-03,K02000001,Protein,Percentage,3.2
1996-04,K02000001,Price,Pence per litre,23.56
1996-04,K02000001,Volume,Million litres,1191
1996-04,K02000001,Butterfat,Percentage,4.09
1996-04,K02000001,Protein,Percentage,3.18
1996-05,K02000001,Price,Pence per litre,22.66
1996-05,K02000001,Volume,Million litres,1310
1996-05,K02000001,Butterfat,Percentage,3.98
1996-05,K02000001,Protein,Percentage,3.36
1996-06,K02000001,Price,Pence per litre,23.83
1996-06,K02000001,Volume,Million litres,1217
1996-06,K02000001,Butterfat,Percentage,3.94
1996-06,K02000001,Protein,Percentage,3.33
1996-07,K02000001,Price,Pence per litre,26.69
1996-07,K02000001,Volume,Million litres,1156
1996-07,K02000001,Butterfat,Percentage,3.97
1996-07,K02000001,Protein,Percentage,3.32
1996-08,K02000001,Price,Pence per litre,26.87
1996-08,K02000001,Volume,Million litres,1113
1996-08,K02000001,Butterfat,Percentage,4.03
1996-08,K02000001,Protein,Percentage,3.28
1996-09,K02000001,Price,Pence per litre,26.6
1996-09,K02000001,Volume,Million litres,1078
1996-09,K02000001,Butterfat,Percentage,4.07
1996-09,K02000001,Protein,Percentage,3.37
1996-10,K02000001,Price,Pence per litre,25.62
1996-10,K02000001,Volume,Million litres,1076
1996-10,K02000001,Butterfat,Percentage,4.17
1996-10,K02000001,Protein,Percentage,3.38
1996-11,K02000001,Price,Pence per litre,24.64
1996-11,K02000001,Volume,Million litres,1030
1996-11,K02000001,Butterfat,Percentage,4.19
1996-11,K02000001,Protein,Percentage,3.34
1996-12,K02000001,Price,Pence per litre,24.43
1996-12,K02000001,Volume,Million litres,1106
1996-12,K02000001,Butterfat,Percentage,4.22
1996-12,K02000001,Protein,Percentage,3.3
1997-01,K02000001,Price,Pence per litre,24.1
1997-01,K02000001,Volume,Million litres,1148
1997-01,K02000001,Butterfat,Percentage,4.17
1997-01,K02000001,Protein,Percentage,3.25
1997-02,K02000001,Price,Pence per litre,23.73
1997-02,K02000001,Volume,Million litres,1064
1997-02,K02000001,Butterfat,Percentage,4.12
1997-02,K02000001,Protein,Percentage,3.19
1997-03,K02000001,Price,Pence per litre,23.68
1997-03,K02000001,Volume,Million litres,1200
1997-03,K02000001,Butterfat,Percentage,4.08
1997-03,K02000001,Protein,Percentage,3.19
1997-04,K02000001,Price,Pence per litre,20.5
1997-04,K02000001,Volume,Million litres,1257
1997-04,K02000001,Butterfat,Percentage,4.06
1997-04,K02000001,Protein,Percentage,3.3
1997-05,K02000001,Price,Pence per litre,19.56
1997-05,K02000001,Volume,Million litres,1317
1997-05,K02000001,Butterfat,Percentage,4
1997-05,K02000001,Protein,Percentage,3.33
1997-06,K02000001,Price,Pence per litre,20.71
1997-06,K02000001,Volume,Million litres,1198
1997-06,K02000001,Butterfat,Percentage,3.98
1997-06,K02000001,Protein,Percentage,3.33
1997-07,K02000001,Price,Pence per litre,23.88
1997-07,K02000001,Volume,Million litres,1164
1997-07,K02000001,Butterfat,Percentage,3.97
1997-07,K02000001,Protein,Percentage,3.3
1997-08,K02000001,Price,Pence per litre,23.69
1997-08,K02000001,Volume,Million litres,1123
1997-08,K02000001,Butterfat,Percentage,3.97
1997-08,K02000001,Protein,Percentage,3.28
1997-09,K02000001,Price,Pence per litre,22.79
1997-09,K02000001,Volume,Million litres,1070
1997-09,K02000001,Butterfat,Percentage,4.06
1997-09,K02000001,Protein,Percentage,3.38
1997-10,K02000001,Price,Pence per litre,20.82
1997-10,K02000001,Volume,Million litres,1101
1997-10,K02000001,Butterfat,Percentage,4.16
1997-10,K02000001,Protein,Percentage,3.39
1997-11,K02000001,Price,Pence per litre,20.39
1997-11,K02000001,Volume,Million litres,1066
1997-11,K02000001,Butterfat,Percentage,4.17
1997-11,K02000001,Protein,Percentage,3.36
1997-12,K02000001,Price,Pence per litre,20.09
1997-12,K02000001,Volume,Million litres,1140
1997-12,K02000001,Butterfat,Percentage,4.13
1997-12,K02000001,Protein,Percentage,3.3
1998-01,K02000001,Price,Pence per litre,19.96
1998-01,K02000001,Volume,Million litres,1167
1998-01,K02000001,Butterfat,Percentage,4.12
1998-01,K02000001,Protein,Percentage,3.25
1998-02,K02000001,Price,Pence per litre,19.77
1998-02,K02000001,Volume,Million litres,1060
1998-02,K02000001,Butterfat,Percentage,4.09
1998-02,K02000001,Protein,Percentage,3.22
1998-03,K02000001,Price,Pence per litre,19.7
1998-03,K02000001,Volume,Million litres,1165
1998-03,K02000001,Butterfat,Percentage,4.1
1998-03,K02000001,Protein,Percentage,3.19
1998-04,K02000001,Price,Pence per litre,17.57
1998-04,K02000001,Volume,Million litres,1177
1998-04,K02000001,Butterfat,Percentage,4.14
1998-04,K02000001,Protein,Percentage,3.21
1998-05,K02000001,Price,Pence per litre,16.6
1998-05,K02000001,Volume,Million litres,1290
1998-05,K02000001,Butterfat,Percentage,3.99
1998-05,K02000001,Protein,Percentage,3.31
1998-06,K02000001,Price,Pence per litre,17.66
1998-06,K02000001,Volume,Million litres,1173
1998-06,K02000001,Butterfat,Percentage,4
1998-06,K02000001,Protein,Percentage,3.31
1998-07,K02000001,Price,Pence per litre,20.66
1998-07,K02000001,Volume,Million litres,1163
1998-07,K02000001,Butterfat,Percentage,3.95
1998-07,K02000001,Protein,Percentage,3.33
1998-08,K02000001,Price,Pence per litre,20.8
1998-08,K02000001,Volume,Million litres,1131
1998-08,K02000001,Butterfat,Percentage,3.97
1998-08,K02000001,Protein,Percentage,3.35
1998-09,K02000001,Price,Pence per litre,19.98
1998-09,K02000001,Volume,Million litres,1073
1998-09,K02000001,Butterfat,Percentage,4.07
1998-09,K02000001,Protein,Percentage,3.4
1998-10,K02000001,Price,Pence per litre,20.15
1998-10,K02000001,Volume,Million litres,1092
1998-10,K02000001,Butterfat,Percentage,4.15
1998-10,K02000001,Protein,Percentage,3.41
1998-11,K02000001,Price,Pence per litre,19.6
1998-11,K02000001,Volume,Million litres,1039
1998-11,K02000001,Butterfat,Percentage,4.15
1998-11,K02000001,Protein,Percentage,3.33
1998-12,K02000001,Price,Pence per litre,19.23
1998-12,K02000001,Volume,Million litres,1127
